code,name
C-14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction
C-1873983,ribociclib 200 MG Oral Tablet
C-198440,Acetaminophen 500 MG Oral Tablet
C-1988-5,C reactive protein [Mass/volume] in Serum or Plasma
C-2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
C-233604007,Pneumonia (disorder)
C-271825005,Respiratory distress (finding)
C-33959-8,Procalcitonin [Mass/volume] in Serum or Plasma
C-389087006,Hypoxemia (disorder)
C-48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma
C-5902-2,Prothrombin time (PT)
C-5905-5,Monocytes/100 leukocytes in Blood by Automated count
C-6301-6,INR in Platelet poor plasma by Coagulation assay
C-704-7,Basophils [#/volume] in Blood by Automated count
C-706-2,Basophils/100 leukocytes in Blood by Automated count
C-711-2,Eosinophils [#/volume] in Blood by Automated count
C-713-8,Eosinophils/100 leukocytes in Blood by Automated count
C-731-0,Lymphocytes [#/volume] in Blood by Automated count
C-736-9,Lymphocytes/100 leukocytes in Blood by Automated count
C-742-7,Monocytes [#/volume] in Blood by Automated count
C-751-8,Neutrophils [#/volume] in Blood by Automated count
C-770-8,Neutrophils/100 leukocytes in Blood by Automated count
C-854235,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe
C-1650142,Doxycycline Monohydrate 100 MG Oral Tablet
C-1946840,Verzenio 100 MG Oral Tablet
C-305351004,Admit to ICU (procedure)
C-387685009,Surgical manipulation of shoulder joint
C-57676002,Joint pain (finding)
C-68962001,Muscle pain (finding)
C-204892,clonazePAM 0.25 MG Oral Tablet
C-267036007,Dyspnea (finding)
C-56018004,Wheezing (finding)
C-88039007,Transplant of lung (procedure)
C-15724005,Fracture of vertebral column without spinal cord injury
C-1734919,Cyclophosphamide 1000 MG Injection
C-1790099,10 ML Doxorubicin Hydrochloride 2 MG/ML Injection
C-241834,cycloSPORINE  modified 100 MG Oral Capsule
C-25064002,Headache (finding)
C-310261,exemestane 25 MG Oral Tablet
C-854252,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe
C-865098,Insulin Lispro 100 UNT/ML Injectable Solution [Humalog]
C-161622006,History of lower limb amputation (situation)
C-1723208,10 ML Alfentanil 0.5 MG/ML Injection
C-199224,anastrozole 1 MG Oral Tablet
C-200064,letrozole 2.5 MG Oral Tablet
C-212446,Azithromycin 250mg
C-225337009,Suicide risk assessment (procedure)
C-385892002,Mental health screening (procedure)
C-417181009,Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain
C-47505003,Posttraumatic stress disorder
C-105078,Penicillin G 375 MG/ML Injectable Solution
C-1605257,Liletta 52 MG Intrauterine System
C-1856546,Kyleena 19.5 MG Intrauterine System
C-1960-4,Bicarbonate [Moles/volume] in Arterial blood
C-19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator
C-2019-8,Carbon dioxide [Partial pressure] in Arterial blood
C-267102003,Sore throat symptom (finding)
C-2703-7,Oxygen [Partial pressure] in Arterial blood
C-2744-1,pH of Arterial blood
C-65710008,Acute respiratory failure (disorder)
C-75443-2,Mental health Outpatient Note
C-834061,Penicillin V Potassium 250 MG Oral Tablet
C-84215-3,Mental health Telehealth Note
C-1809104,5 ML SUFentanil 0.05 MG/ML Injection
C-312615,predniSONE 20 MG Oral Tablet
C-43724002,Chill (finding)
C-562366,desflurane 1000 MG/ML Inhalation Solution
C-68235000,Nasal congestion (finding)
C-727762,5 ML fulvestrant 50 MG/ML Prefilled Syringe
C-789980,Ampicillin 100 MG/ML Injectable Solution
C-94260004,Secondary malignant neoplasm of colon
C-132281000119108,Acute deep venous thrombosis (disorder)
C-1735006,10 ML Fentanyl 0.05 MG/ML Injection
C-183450002,Admission to burn unit
C-249497008,Vomiting symptom (finding)
C-267060006,Diarrhea symptom (finding)
C-29046,Lisinopril
C-305340004,Admission to long stay hospital
C-38102005,Open Removal of Gall Bladder
C-40275004,Contact dermatitis
C-403192003,Third degree burn
C-422587007,Nausea (finding)
C-67782005,Acute respiratory distress syndrome (disorder)
C-698754002,Chronic paralysis due to lesion of spinal cord
C-706870000,Acute pulmonary embolism (disorder)
C-1191,Aspirin
C-1483744,Naltrexone hydrochloride 50 MG Oral Tablet
C-1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector
C-200243,sevoflurane 1000 MG/ML Inhalant Solution
C-21924-6,Tumor marker Cancer
C-232967006,Implantation of left ventricular assist device (procedure)
C-243174005,Weaning from mechanically assisted ventilation (procedure)
C-370143000,Major depression disorder
C-40617009,Artificial respiration (procedure)
C-408512008,Body mass index 40+ - severely obese (finding)
C-445912000,Excision of fallopian tube and surgical removal of ectopic pregnancy
C-7984,Penicillin V
C-897122,3 ML liraglutide 6 MG/ML Pen Injector
C-1049635,Acetaminophen 325 MG / oxyCODONE Hydrochloride 2.5 MG Oral Tablet
C-108290001,Radiation oncology AND/OR radiotherapy (procedure)
C-157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
C-160701002,Social migrant (finding)
C-177157003,Spontaneous breech delivery
C-1791701,10 ML Fluorouracil 50 MG/ML Injection
C-1940648,neratinib 40 MG Oral Tablet
C-200346,Cefdinir
C-260147004,House dust mite (organism)
C-287185009,Attempted suicide - cut/stab
C-433144002,Chronic kidney disease stage 3 (disorder)
C-447759004,Brachytherapy of breast (procedure)
C-52734007,Total replacement of hip
C-60951000119105,Blindness due to type 2 diabetes mellitus (disorder)
C-74857009,Hospital admission  short-term  24 hours
C-79733001,Amputation of left leg
C-88848003,Psychiatric follow-up
C-90407005,Evaluation of psychiatric state of patient
C-1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet
C-10831,Sulfamethoxazole / Trimethoprim
C-1114085,100 ML zoledronic acid 0.04 MG/ML Injection
C-112001000119100,positive screening for PHQ-9
C-112798008,Insertion of endotracheal tube (procedure)
C-113120007,Interstitial brachytherapy (procedure)
C-115,Tdap
C-1191222,naloxone hydrochloride 0.4 MG/ML Injectable Solution
C-1363309,Chlorpheniramine Maleate 4 MG Oral Tablet
C-141918,Terfenadine 60 MG Oral Tablet
C-161621004,History of upper limb amputation (situation)
C-1658084,ado-trastuzumab emtansine 100 MG Injection
C-171231001,Asthma screening
C-1734006,Fracture of the vertebral column with spinal cord injury
C-180030006,Amputation of left foot
C-183856001,Referral to hypertension clinic
C-195967001,Asthma
C-197378,Astemizole 10 MG Oral Tablet
C-225444004,At risk for suicide (finding)
C-238100,Lorazepam 2 MG/ML Injectable Solution
C-246677007,Passive conjunctival congestion (finding)
C-264287008,Animal dander (substance)
C-26763009,Controlled ventilation procedure and therapy  initiation and management (procedure)
C-271280005,Removal of endotracheal tube (procedure)
C-305425002,Admission to neurosurgical department
C-310385,FLUoxetine 20 MG Oral Capsule
C-311372,Loratadine 10 MG Oral Tablet
C-313820,Acetaminophen 160 MG Chewable Tablet
C-36923009,Major depression  single episode
C-384692006,Intracavitary brachytherapy (procedure)
C-387607004,Construction of diverting colostomy
C-429280009,History of amputation of foot (situation)
C-43060002,Intravenous injection (procedure)
C-45816000,Pyelonephritis
C-47200007,Non-low risk pregnancy
C-5640,Ibuprofen
C-597195,Carboplatin 10 MG/ML Injectable Solution
C-62,HPV  quadrivalent
C-770349000,Sepsis caused by virus (disorder)
C-782576004,Tree pollen (substance)
C-84489001,Mold (organism)
C-864706,methadone hydrochloride 10 MG Oral Tablet
C-997501,Fexofenadine hydrochloride 60 MG Oral Tablet
C-1014678,cetirizine hydrochloride 10 MG Oral Tablet
C-103746007,Heparin therapy (procedure)
C-104173009,Sputum Culture
C-111088007,Latex (substance)
C-1116758,chloroquine phosphate 500 MG Oral Tablet
C-113076002,Oral Glucose Tolerance Test
C-13569004,Transfusion of plasma (procedure)
C-1373463,canagliflozin 100 MG Oral Tablet
C-13995008,Amputation of right arm
C-14152002,Intravenous infusion (procedure)
C-1657981,20 ML tocilizumab 20 MG/ML Injection
C-1664986,Aztreonam 2000 MG Injection
C-1737449,10 ML Pamidronate Disodium 3 MG/ML Injection
C-1807513,vancomycin 1000 MG Injection
C-190905008,Cystic Fibrosis
C-198767,Pancreatin 600 MG Oral Tablet
C-200936003,Lupus erythematosus
C-2047241,baricitinib 2 MG Oral Tablet
C-205532,Pulmozyme (Dornase Alfa)
C-2103182,1 ML Vasopressin (USP) 20 UNT/ML Injection
C-2284960,remdesivir 100 MG Injection
C-232657004,Lung Transplant
C-234466008,Acquired coagulation disorder (disorder)
C-243063003,Postoperative procedure education (procedure)
C-25037,cefdinir
C-256277009,Grass pollen (substance)
C-26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma
C-281790008,Intravenous antibiotic therapy
C-287182007,Attempted suicide - suffocation
C-288328004,Bee venom (substance)
C-302497006,Hemodialysis (procedure)
C-308460,Azithromycin 250 MG Oral Tablet
C-309845,Diazepam 5 MG/ML Injectable Solution
C-313572,Vancomycin 50 MG/ML Injectable Solution
C-32413006,Transplantation of heart (procedure)
C-40095003,Injury of kidney (disorder)
C-406602003,Infection caused by Staphylococcus aureus
C-427089005,Diabetes from Cystic Fibrosis
C-444260001,20 Gene mutation test
C-448417001,Sepsis caused by Staphylococcus aureus
C-448813005,Sepsis caused by Pseudomonas (disorder)
C-48333001,Burn injury(morphologic abnormality)
C-48387007,Incision of trachea (procedure)
C-609588000,Total knee replacement
C-61594008,Microbial culture (procedure)
C-66857006,Hemoptysis (finding)
C-672149,lapatinib 250 MG Oral Tablet
C-698423002,History of disarticulation at wrist (situation)
C-707418001,Male infertility due to cystic fibrosis (disorder)
C-727711,0.67 ML anakinra 149 MG/ML Prefilled Syringe
C-82078001,Take blood sample
C-84114007,Heart failure (disorder)
C-854228,0.3 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe
C-86175003,Injury of heart (disorder)
C-86849004,Suicidal deliberate poisoning
C-86964003,Sweat Test
C-87628006,Bacterial infectious disease (disorder)
C-876882001,Died in hospice (finding)
C-979092,Hydroxychloroquine Sulfate 200 MG Oral Tablet
C-993452,1 ML denosumab 60 MG/ML Prefilled Syringe
C-999998,Leronlimab 700 MG Injection
C-999999,Aviptadil Infusion
